Standardized Unit,Unit Definition,Unit Type,Unit Industry
%,Percentage,,
kgCO2,kilograms of carbon dioxide ,Absolute,NA
kgCO2e,kilograms of carbon dioxide-equivalents ,Absolute,NA
tCO2,tonnes of carbon dioxide,Absolute,NA
tCO2e,tonnes of carbon dioxide-equivalents,Absolute,NA
ktCO2,kilotonnes of carbon dioxide ,Absolute,NA
ktCO2e,kilotonnes of carbon dioxide-equivalents,Absolute,NA
mtCO2,million tonnes of carbon dioxide ,Absolute,NA
mtCO2e,million tonnes of carbon dioxide-equivalents,Absolute,NA
MtCO2,megatonnes of carbon dioxide,Absolute,NA
MtCO2e,megatonnes of carbon dioxide-equivalents,Absolute,NA
tCO2e/GWh,tonnes of carbon dioxide-equivalents emitted per gigawatt hour of energy ,Intensity,Power_Generation
ktCO2e/GWh,kilotonnes of carbon dioxide-equivalents emitted per gigawatt hour of energy ,Intensity,Power_Generation
kgCO2e/MWh,kilograms of carbon dioxide-equivalents emitted per megawatt hour of energy ,Intensity,Power_Generation
tCO2e/MWh,tonnes of carbon dioxide-equivalents emitted per megawatt hour of energy ,Intensity,Power_Generation
gCO2e/kWh,grams of carbon dioxide-equivalents emitted per kilowatt hour of energy ,Intensity,Power_Generation
kgCO2e/kWh,kilograms of carbon dioxide-equivalents emitted per kilowatt hour of energy ,Intensity,Power_Generation
ktCO2e/TWh,kilotonnes of carbon dioxide-equivalents emitted per terawatt hour of energy ,Intensity,Power_Generation
MtCO2e/TWh,megatonnes of carbon dioxide-equivalents emitted per terawatt hour of energy ,Intensity,Power_Generation
kgCO2e/GJ,kilograms of carbon dioxide-equivalents emitted per gigajoule of energy ,Intensity,Oil_and_Gas
tCO2e/GJ,tonnes of carbon dioxide-equivalents emitted per gigajoule of energy ,Intensity,Oil_and_Gas
gCO2e/MJ,grams of carbon dioxide-equivalents emitted per megajoule of energy ,Intensity,Oil_and_Gas
kgCO2e/MJ,kilograms of carbon dioxide-equivalents emitted per megajoule of energy ,Intensity,Oil_and_Gas
kgCO2/Barrel of Oil Equivalent (boe),kilograms of carbon dioxide-equivalents emitted per barrel of oil equivalent,Intensity,Oil_and_Gas
tCO2/Barrel of Oil Equivalent (boe),tonnes of carbon dioxide-equivalents emitted per barrel of oil equivalent,Intensity,Oil_and_Gas
kgCO2e/t cement,kilograms of carbon dioxide-equivalents emitted per tonne of cement ,Intensity,Cement
tCO2e/t cement,tonnes of carbon dioxide-equivalents emitted per tonne of cement ,Intensity,Cement
gCO2e/kg cement,grams of carbon dioxide-equivalents emitted per kilogram of cement ,Intensity,Cement
kgCO2e/kg cement,kilograms of carbon dioxide-equivalents emitted per kilogram of cement ,Intensity,Cement
kgCO2e/t metal,kilograms of carbon dioxide-equivalents emitted per tonne of metal ,Intensity,Iron_Steel_and_Aluminium
tCO2e/t metal,tonnes of carbon dioxide-equivalents emitted per tonne of metal ,Intensity,Iron_Steel_and_Aluminium
gCO2e/kg metal,grams of carbon dioxide-equivalents emitted per kilogram of metal ,Intensity,Iron_Steel_and_Aluminium
kgCO2e/kg metal,kilograms of carbon dioxide-equivalents emitted per kilogram of metal ,Intensity,Iron_Steel_and_Aluminium
